# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​)
0.01,0.266,0.266,87.261,0,2943,0.326,NaN,67.5,NaN,106.997,1.536e-5,0.654,NaN
0.02,1.197,1.197,77.865,0,2941,0.326,NaN,67.5,NaN,302.736,0.001,0.652,NaN
0.03,2.22,2.22,68.182,0,2939,0.326,NaN,67.5,NaN,329.629,0.007,0.648,NaN
0.04,3.195,3.195,59.931,0,2937,0.325,NaN,67.5,NaN,315.452,0.019,0.643,NaN
0.05,4.125,4.125,53.113,0,2935,0.325,NaN,67.5,NaN,301.619,0.036,0.637,NaN
0.06,5.046,5.046,47.097,0,2933,0.325,NaN,67.4,NaN,299.148,0.059,0.631,NaN
0.07,5.979,5.979,41.883,0,2931,0.325,NaN,67.4,NaN,302.185,0.087,0.625,NaN
0.08,6.922,6.922,37.414,0,2929,0.325,NaN,67.4,NaN,305.223,0.121,0.619,NaN
0.09,7.876,7.876,33.575,0,2927,0.324,NaN,67.4,NaN,308.261,0.159,0.613,NaN
0.1,8.841,8.841,30.252,0,2925,0.324,NaN,67.4,NaN,311.299,0.201,0.607,NaN
0.11,9.818,9.818,27.559,0,2923,0.324,NaN,67.3,NaN,314.337,0.247,0.602,NaN
0.12,10.803,10.803,25.21,0,2921,0.324,NaN,67.3,NaN,316.932,0.297,0.597,NaN
0.129,11.722,11.722,23.319,0,2919,0.324,NaN,67.3,NaN,318.809,0.348,0.596,NaN
0.138,12.574,12.574,21.772,0,2918,0.323,NaN,67.3,NaN,320.538,0.399,0.596,NaN
0.146,13.374,13.374,20.512,0,2916,0.323,NaN,67.3,NaN,322.14,0.448,0.596,NaN
0.153,14.129,14.129,19.481,0,2914,0.323,NaN,67.2,NaN,323.639,0.497,0.596,NaN
0.164,15.27,15.27,18.335,0,2912,0.323,77,67.2,1.248,325.456,0.575,0.596,5.7
0.181,16.996,16.996,16.845,0,2909,0.322,77.4,67.2,1.302,327.738,0.702,0.596,5.094
0.206,19.588,19.588,14.668,0,2903,0.322,78.1,67.1,1.389,327.677,0.903,0.596,4.258
0.244,23.454,23.455,10.886,-4.655e-7,2896,0.321,79.3,67.1,1.558,325.532,1.188,0.596,2.945
0.282,27.287,27.287,8.995,5.942e-7,2888,0.32,80.1,67,1.663,321.98,1.529,0.597,2.33
0.316,30.626,30.626,7.678,-1.165e-6,2881,0.32,80.6,66.9,1.743,317,1.86,0.597,1.93
0.347,33.66,33.661,6.532,0,2875,0.319,81.1,66.8,1.817,312.664,2.183,0.597,1.605
0.377,36.577,36.577,5.329,-3.48e-6,2869,0.318,81.7,66.8,1.9,311.668,2.504,0.597,1.268
0.407,39.597,39.597,4.125,-4.62e-7,2863,0.318,82.4,66.7,1.988,311.406,2.859,0.598,0.949
0.441,42.932,42.933,2.922,-4.922e-6,2856,0.317,83,66.6,2.083,311.125,3.293,0.598,0.648
0.483,46.979,46.983,1.146,1.267e-5,2848,0.316,84.1,66.5,2.227,310.798,3.866,0.599,0.249
0.533,51.834,51.849,0.802,-1.055e-5,2838,0.315,84.3,66.4,2.272,310.259,4.696,0.599,0.167
0.583,56.646,56.684,2.235,-2.292e-5,2828,0.314,83.5,66.3,2.176,309.264,5.687,0.6,0.485
0.61,59.207,59.264,2.693,1.098e-6,2823,0.314,83.2,66.3,2.146,308.493,6.264,0.6,0.605
0.63,61.154,61.229,2.922,5.394e-6,2819,0.313,83.1,66.2,2.136,308.239,6.715,0.601,0.66
0.648,62.842,62.936,3.037,3.093e-6,2815,0.313,83,66.2,2.133,308.107,7.113,0.601,0.688
0.664,64.379,64.492,3.151,0,2812,0.312,83,66.2,2.133,307.99,7.482,0.601,0.706
0.679,65.807,65.938,3.151,-1.028e-6,2809,0.312,83,66.1,2.137,307.882,7.828,0.602,0.709
0.694,67.165,67.316,3.094,-9.969e-7,2806,0.312,83,66.1,2.145,307.78,8.157,0.602,0.697
0.708,68.484,68.655,3.037,0,2804,0.312,83,66.1,2.155,307.693,8.477,0.602,0.677
0.722,69.785,69.976,2.865,6.423e-7,2801,0.311,83.1,66,2.168,307.939,8.794,0.602,0.647
0.735,71.088,71.301,2.693,3.977e-7,2798,0.311,83.2,66,2.185,308.342,9.11,0.603,0.605
0.75,72.423,72.658,2.464,-1.6e-6,2795,0.311,83.3,66,2.206,308.749,9.435,0.603,0.551
0.764,73.824,74.083,2.177,-3.076e-6,2792,0.31,83.5,65.9,2.233,309.171,9.777,0.603,0.481
0.78,75.358,75.641,1.833,-5.195e-7,2789,0.31,83.8,65.9,2.267,309.622,10.155,0.604,0.395
0.799,77.136,77.448,1.318,1.069e-5,2786,0.31,84.1,65.9,2.31,310.13,10.606,0.604,0.287
0.823,79.458,79.805,0.63,1.226e-5,2781,0.309,84.5,65.8,2.376,310.484,11.224,0.604,0.13
0.859,82.956,83.346,0.401,-1.113e-5,2774,0.308,84.7,65.7,2.404,310.489,12.248,0.605,0.09
0.909,87.796,88.228,1.432,6.068e-5,2764,0.307,84,65.6,2.338,310.465,13.81,0.606,0.31
0.925,89.332,89.773,1.604,2.061e-6,2761,0.307,83.9,65.6,2.329,309.82,14.32,0.607,0.354
0.939,90.686,91.136,1.719,8.445e-6,2758,0.307,83.9,65.5,2.328,309.17,14.765,0.607,0.368
0.953,91.948,92.405,1.719,4.773e-6,2755,0.306,83.9,65.5,2.332,308.582,15.18,0.607,0.37
0.965,93.167,93.629,1.662,4.003e-6,2753,0.306,83.9,65.5,2.338,308.022,15.582,0.608,0.364
0.978,94.367,94.835,1.604,3.367e-6,2750,0.306,84,65.5,2.348,307.475,15.976,0.608,0.347
0.99,95.584,96.059,1.49,5.698e-6,2748,0.305,84,65.4,2.362,306.927,16.375,0.608,0.319
1.004,96.865,97.347,1.318,4.133e-6,2745,0.305,84.1,65.4,2.381,306.623,16.797,0.609,0.28
1.019,98.299,98.791,1.089,6.142e-6,2742,0.305,84.3,65.4,2.404,311.041,17.275,0.609,0.229
1.036,100.017,100.522,0.745,6.56e-6,2739,0.304,84.5,65.3,2.437,315.514,17.861,0.61,0.158
1.061,102.371,102.897,0.229,1.537e-6,2734,0.304,84.9,65.3,2.487,311.229,18.696,0.61,0.049
1.097,105.846,106.415,0.516,-5.034e-5,2727,0.303,84.7,65.2,2.477,308.711,20.026,0.611,0.106
1.126,108.633,109.244,0.917,4.705e-5,2721,0.302,84.4,65.1,2.454,311.193,21.163,0.612,0.197
1.142,110.164,110.802,1.031,5.901e-6,2718,0.302,84.4,65.1,2.448,316.354,21.801,0.613,0.226
1.156,111.474,112.135,1.089,5.884e-6,2715,0.302,84.3,65,2.449,316.059,22.346,0.613,0.238
1.169,112.679,113.363,1.089,6.727e-6,2713,0.301,84.3,65,2.453,314.088,22.848,0.613,0.239
1.181,113.842,114.547,1.089,5.072e-6,2710,0.301,84.4,65,2.461,312.216,23.33,0.614,0.229
1.193,115.016,115.743,0.974,1.073e-5,2708,0.301,84.4,65,2.473,310.355,23.816,0.614,0.209
