# Simulation 2 (Up to date),,,,,,,
# 261 data points written for 8 variables.,,,,,,,
#,,,,,,,
# Time (s),Vertical velocity (m/s),Mass (g),Thrust (N),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,
0.01,0.02,2647.69,31.12,0,1.015,12.51,968.331
0.02,0.274,2647.304,93.359,0,0.792,12.51,968.33
0.03,0.731,2646.572,146.968,0.002,0.644,12.51,968.33
0.04,1.257,2645.61,165.097,0.005,0.58,12.51,968.329
# Event LIFTOFF occurred at t=0.05 seconds,,,,,,,
0.05,1.838,2644.648,179.391,0.009,0.542,12.51,968.327
0.06,2.472,2643.686,193.685,0.016,0.516,12.51,968.324
0.07,3.161,2642.725,207.979,0.024,0.497,12.51,968.321
0.08,3.897,2641.668,220.488,0.036,0.481,12.51,968.317
0.09,4.641,2640.518,222.286,0.049,0.469,12.509,968.312
0.1,5.385,2639.367,222.298,0.065,0.459,12.509,968.306
0.11,6.129,2638.216,222.311,0.082,0.451,12.509,968.299
0.12,6.873,2637.066,222.324,0.101,0.444,12.508,968.292
0.13,7.618,2635.911,222.384,0.123,0.438,12.508,968.283
0.14,8.367,2634.745,223.201,0.146,0.433,12.507,968.274
0.15,9.12,2633.58,224.279,0.172,0.428,12.507,968.263
0.16,9.877,2632.415,225.356,0.2,0.424,12.506,968.252
0.17,10.638,2631.25,226.434,0.229,0.42,12.505,968.24
0.179,11.358,2630.15,227.483,0.259,0.417,12.505,968.228
0.188,12.037,2629.096,228.646,0.289,0.414,12.504,968.216
# Event LAUNCHROD occurred at t=0.197 seconds,,,,,,,
0.197,12.681,2628.101,229.842,0.321,0.413,12.503,968.204
0.209,13.654,2626.608,231.293,0.372,0.413,12.502,968.185
0.228,15.13,2624.369,233.47,0.457,0.414,12.501,968.153
0.256,17.369,2620.939,235.741,0.602,0.414,12.498,968.1
0.298,20.764,2615.767,237.828,0.86,0.414,12.492,968.006
0.348,24.845,2609.557,239.876,1.232,0.414,12.485,967.872
0.398,28.975,2603.3,242.298,1.676,0.414,12.476,967.714
0.448,33.09,2597.046,241.4,2.186,0.414,12.466,967.532
0.498,37.191,2590.828,240.635,2.763,0.415,12.455,967.326
0.548,41.236,2584.664,237.761,3.399,0.415,12.442,967.096
0.598,45.256,2578.544,236.606,4.098,0.416,12.428,966.843
0.648,49.253,2572.446,235.599,4.857,0.416,12.413,966.565
0.698,53.207,2566.4,233.63,5.673,0.416,12.396,966.265
0.748,57.099,2560.425,230.757,6.539,0.417,12.378,965.942
0.798,60.949,2554.497,228.992,7.457,0.417,12.359,965.595
0.848,64.819,2548.535,230.406,8.442,0.418,12.338,965.227
0.898,68.65,2542.611,228.967,9.48,0.418,12.317,964.835
0.948,72.065,2537.238,208.338,10.456,0.419,12.294,964.423
0.998,74.612,2533.006,164.803,11.215,0.419,12.27,963.993
1.048,76.117,2530.122,112.414,11.675,0.42,12.246,963.551
1.098,76.634,2528.492,62.689,11.832,0.42,12.221,963.103
1.148,76.467,2527.725,28.173,11.775,0.42,12.196,962.654
1.198,76.003,2527.373,12.984,11.626,0.42,12.171,962.207
1.248,75.41,2527.201,6.321,11.438,0.42,12.147,961.763
1.298,74.75,2527.131,2.727,11.232,0.419,12.122,961.323
# Event BURNOUT occurred at t=1.313 seconds,,,,,,,
1.313,74.536,2527.117,0.515,11.165,0.419,12.115,961.189
1.336,74.212,2527.117,0,11.065,0.419,12.104,960.99
1.37,73.727,2527.117,0,10.916,0.419,12.087,960.693
1.42,73.023,2527.117,0,10.702,0.419,12.063,960.262
1.47,72.323,2527.117,0,10.491,0.419,12.04,959.836
1.52,71.628,2527.117,0,10.284,0.419,12.016,959.414
1.57,70.937,2527.117,0,10.08,0.419,11.993,958.996
1.62,70.249,2527.117,0,9.88,0.419,11.97,958.582
1.67,69.566,2527.117,0,9.683,0.419,11.948,958.172
1.72,68.886,2527.117,0,9.489,0.419,11.925,957.766
1.77,68.21,2527.117,0,9.298,0.418,11.903,957.364
1.82,67.538,2527.117,0,9.111,0.418,11.881,956.966
1.87,66.87,2527.117,0,8.926,0.418,11.859,956.572
1.92,66.205,2527.117,0,8.745,0.418,11.837,956.182
1.97,65.544,2527.117,0,8.566,0.418,11.816,955.796
2.02,64.887,2527.117,0,8.39,0.418,11.795,955.413
2.07,64.232,2527.117,0,8.218,0.418,11.774,955.035
2.12,63.582,2527.117,0,8.048,0.418,11.753,954.66
2.17,62.934,2527.117,0,7.88,0.418,11.732,954.304
2.22,62.29,2527.117,0,7.716,0.418,11.712,953.954
2.27,61.649,2527.117,0,7.554,0.417,11.692,953.608
2.32,61.011,2527.117,0,7.395,0.417,11.672,953.265
2.37,60.377,2527.117,0,7.239,0.417,11.652,952.926
2.42,59.745,2527.117,0,7.084,0.417,11.633,952.591
2.47,59.117,2527.117,0,6.933,0.417,11.613,952.259
2.52,58.491,2527.117,0,6.784,0.417,11.594,951.93
2.57,57.868,2527.117,0,6.637,0.417,11.575,951.605
2.62,57.249,2527.117,0,6.493,0.417,11.557,951.284
2.67,56.632,2527.117,0,6.35,0.417,11.538,950.966
2.72,56.018,2527.117,0,6.211,0.417,11.52,950.651
2.77,55.406,2527.117,0,6.073,0.417,11.502,950.34
2.82,54.797,2527.117,0,5.938,0.417,11.484,950.032
2.87,54.191,2527.117,0,5.805,0.417,11.466,949.728
2.92,53.588,2527.117,0,5.674,0.416,11.449,949.427
2.97,52.987,2527.117,0,5.545,0.416,11.431,949.129
3.02,52.389,2527.117,0,5.418,0.416,11.414,948.835
