# Time (s),Mass (g),Longitudinal moment of inertia (kg·m²),Drag force (N),Drag coefficient (​)
0.01,2943,0.326,1.536e-5,0.654
0.02,2941,0.326,0.001,0.652
0.03,2939,0.326,0.007,0.648
0.04,2937,0.325,0.019,0.643
0.05,2935,0.325,0.036,0.637
0.06,2933,0.325,0.059,0.631
0.07,2931,0.325,0.087,0.625
0.08,2929,0.325,0.121,0.619
0.09,2927,0.324,0.159,0.613
0.1,2925,0.324,0.201,0.607
0.11,2923,0.324,0.247,0.602
0.12,2921,0.324,0.297,0.597
0.129,2919,0.324,0.348,0.596
0.138,2918,0.323,0.399,0.596
0.146,2916,0.323,0.448,0.596
0.153,2914,0.323,0.497,0.596
0.164,2912,0.323,0.575,0.596
0.181,2909,0.322,0.702,0.596
0.206,2903,0.322,0.903,0.596
0.244,2896,0.321,1.188,0.596
0.282,2888,0.32,1.529,0.597
0.316,2881,0.32,1.86,0.597
0.347,2875,0.319,2.183,0.597
0.377,2869,0.318,2.504,0.597
0.407,2863,0.318,2.859,0.598
0.441,2856,0.317,3.293,0.598
0.483,2848,0.316,3.866,0.599
0.533,2838,0.315,4.696,0.599
0.583,2828,0.314,5.687,0.6
0.61,2823,0.314,6.264,0.6
0.63,2819,0.313,6.715,0.601
0.648,2815,0.313,7.113,0.601
0.664,2812,0.312,7.482,0.601
0.679,2809,0.312,7.828,0.602
0.694,2806,0.312,8.157,0.602
0.708,2804,0.312,8.477,0.602
0.722,2801,0.311,8.794,0.602
0.735,2798,0.311,9.11,0.603
0.75,2795,0.311,9.435,0.603
0.764,2792,0.31,9.777,0.603
0.78,2789,0.31,10.155,0.604
0.799,2786,0.31,10.606,0.604
0.823,2781,0.309,11.224,0.604
0.859,2774,0.308,12.248,0.605
0.909,2764,0.307,13.81,0.606
0.925,2761,0.307,14.32,0.607
0.939,2758,0.307,14.765,0.607
0.953,2755,0.306,15.18,0.607
0.965,2753,0.306,15.582,0.608
0.978,2750,0.306,15.976,0.608
0.99,2748,0.305,16.375,0.608
1.004,2745,0.305,16.797,0.609
1.019,2742,0.305,17.275,0.609
1.036,2739,0.304,17.861,0.61
1.061,2734,0.304,18.696,0.61
1.097,2727,0.303,20.026,0.611
1.126,2721,0.302,21.163,0.612
1.142,2718,0.302,21.801,0.613
1.156,2715,0.302,22.346,0.613
1.169,2713,0.301,22.848,0.613
1.181,2710,0.301,23.33,0.614
1.193,2708,0.301,23.816,0.614
1.207,2705,0.301,24.333,0.615
1.222,2702,0.3,24.93,0.615
1.242,2698,0.3,25.742,0.616
1.273,2692,0.299,27.001,0.617
1.319,2683,0.298,28.993,0.618
1.333,2680,0.298,29.643,0.619
1.346,2678,0.297,30.218,0.619
1.358,2675,0.297,30.768,0.62
1.37,2673,0.297,31.314,0.62
1.383,2671,0.297,31.879,0.62
1.397,2668,0.296,32.515,0.621
1.416,2664,0.296,33.358,0.622
1.444,2659,0.295,34.666,0.623
1.48,2652,0.294,36.374,0.624
1.494,2649,0.294,37.034,0.624
1.507,2647,0.294,37.632,0.625
1.519,2645,0.293,38.204,0.625
1.531,2642,0.293,38.773,0.626
1.544,2640,0.293,39.389,0.626
1.56,2637,0.293,40.151,0.627
1.584,2632,0.292,41.348,0.628
1.62,2625,0.291,43.219,0.629
1.634,2623,0.291,43.908,0.63
1.645,2620,0.291,44.49,0.63
1.657,2618,0.29,45.041,0.63
1.67,2616,0.29,45.626,0.631
1.687,2613,0.29,46.356,0.631
1.712,2609,0.289,47.43,0.632
1.749,2604,0.289,48.883,0.633
1.763,2602,0.288,49.345,0.634
1.777,2600,0.288,49.74,0.634
1.795,2598,0.288,50.154,0.634
1.823,2596,0.288,50.618,0.635
1.864,2593,0.287,51.002,0.635
1.882,2592,0.287,51.051,0.635
1.903,2590,0.287,50.992,0.635
1.934,2590,0.287,50.755,0.635
1.966,2589,0.287,50.386,0.635
1.971,2589,0.287,50.314,0.635
1.979,2589,0.287,50.165,0.634
1.99,2589,0.287,49.941,0.634
2.007,2589,0.287,49.605,0.634
2.033,2589,0.287,49.105,0.634
2.071,2589,0.287,48.41,0.633
2.09,2589,0.287,48.094,0.633
2.105,2589,0.287,47.824,0.633
2.121,2589,0.287,47.518,0.633
2.145,2589,0.287,47.071,0.632
2.182,2589,0.287,46.438,0.632
2.202,2589,0.287,46.093,0.632
2.22,2589,0.287,45.792,0.631
2.241,2589,0.287,45.434,0.631
2.272,2589,0.287,44.903,0.631
2.32,2589,0.287,44.121,0.63
2.346,2589,0.287,43.686,0.63
2.381,2589,0.287,43.115,0.63
2.431,2589,0.287,42.324,0.629
2.466,2589,0.287,41.776,0.629
2.509,2589,0.287,41.121,0.628
2.559,2589,0.287,40.353,0.628
2.609,2589,0.287,39.601,0.627
2.659,2589,0.287,38.908,0.626
2.709,2589,0.287,38.233,0.626
2.759,2589,0.287,37.571,0.626
2.809,2589,0.287,36.899,0.625
2.852,2589,0.287,36.332,0.625
2.902,2589,0.287,35.688,0.624
2.952,2589,0.287,35.081,0.624
2.991,2589,0.287,34.607,0.623
3.041,2589,0.287,33.99,0.623
3.08,2589,0.287,33.537,0.623
3.118,2589,0.287,33.088,0.622
3.168,2589,0.287,32.514,0.622
3.218,2589,0.287,31.94,0.621
3.268,2589,0.287,31.363,0.621
3.318,2589,0.287,30.83,0.621
3.368,2589,0.287,30.315,0.62
3.418,2589,0.287,29.8,0.62
3.468,2589,0.287,29.297,0.619
3.518,2589,0.287,28.813,0.619
3.568,2589,0.287,28.334,0.619
3.618,2589,0.287,27.834,0.618
3.668,2589,0.287,27.335,0.618
3.716,2589,0.287,26.85,0.618
3.766,2589,0.287,26.381,0.617
3.816,2589,0.287,25.931,0.617
3.85,2589,0.287,25.629,0.617
3.892,2589,0.287,25.291,0.616
3.941,2589,0.287,24.886,0.616
3.991,2589,0.287,24.484,0.616
4.031,2589,0.287,24.163,0.615
4.069,2589,0.287,23.859,0.615
4.119,2589,0.287,23.451,0.615
4.169,2589,0.287,23.046,0.615
4.219,2589,0.287,22.653,0.614
4.269,2589,0.287,22.273,0.614
4.319,2589,0.287,21.896,0.614
4.369,2589,0.287,21.525,0.613
4.419,2589,0.287,21.151,0.613
4.463,2589,0.287,20.811,0.613
4.513,2589,0.287,20.44,0.613
4.563,2589,0.287,20.095,0.612
4.61,2589,0.287,19.78,0.612
4.645,2589,0.287,19.547,0.612
4.685,2589,0.287,19.285,0.612
4.735,2589,0.287,18.968,0.611
4.785,2589,0.287,18.645,0.611
4.816,2589,0.287,18.453,0.611
4.846,2589,0.287,18.271,0.611
4.891,2589,0.287,18.017,0.611
4.941,2589,0.287,17.722,0.61
4.987,2589,0.287,17.43,0.61
5.037,2589,0.287,17.136,0.61
5.087,2589,0.287,16.846,0.61
5.137,2589,0.287,16.557,0.61
5.187,2589,0.287,16.286,0.609
5.237,2589,0.287,16.018,0.609
5.287,2589,0.287,15.758,0.609
5.337,2589,0.287,15.501,0.609
5.387,2589,0.287,15.242,0.608
5.437,2589,0.287,14.988,0.608
5.487,2589,0.287,14.744,0.608
5.537,2589,0.287,14.508,0.608
5.587,2589,0.287,14.271,0.608
5.637,2589,0.287,14.033,0.607
5.687,2589,0.287,13.791,0.607
5.737,2589,0.287,13.545,0.607
5.787,2589,0.287,13.319,0.607
5.837,2589,0.287,13.088,0.607
5.887,2589,0.287,12.856,0.607
5.937,2589,0.287,12.644,0.606
5.987,2589,0.287,12.43,0.606
6.037,2589,0.287,12.226,0.606
6.087,2589,0.287,12.02,0.606
6.137,2589,0.287,11.82,0.606
6.187,2589,0.287,11.609,0.606
6.237,2589,0.287,11.412,0.605
6.287,2589,0.287,11.217,0.605
6.337,2589,0.287,11.021,0.605
6.387,2589,0.287,10.818,0.605
6.437,2589,0.287,10.605,0.605
6.487,2589,0.287,10.423,0.605
6.537,2589,0.287,10.249,0.604
6.587,2589,0.287,10.068,0.604
6.637,2589,0.287,9.878,0.604
6.687,2589,0.287,9.705,0.604
6.737,2589,0.287,9.515,0.604
6.787,2589,0.287,9.345,0.604
6.837,2589,0.287,9.182,0.603
6.887,2589,0.287,9.034,0.603
6.937,2589,0.287,8.881,0.603
6.987,2589,0.287,8.736,0.603
7.037,2589,0.287,8.572,0.603
7.087,2589,0.287,8.428,0.603
7.137,2589,0.287,8.285,0.603
7.187,2589,0.287,8.143,0.603
7.237,2589,0.287,8.001,0.602
7.287,2589,0.287,7.856,0.602
7.337,2589,0.287,7.72,0.602
7.387,2589,0.287,7.58,0.602
7.437,2589,0.287,7.441,0.602
7.487,2589,0.287,7.296,0.602
7.537,2589,0.287,7.151,0.602
7.587,2589,0.287,7.018,0.602
7.637,2589,0.287,6.892,0.602
7.687,2589,0.287,6.776,0.601
7.737,2589,0.287,6.652,0.601
7.787,2589,0.287,6.532,0.601
7.837,2589,0.287,6.402,0.601
7.887,2589,0.287,6.275,0.601
7.937,2589,0.287,6.157,0.601
7.971,2589,0.287,6.081,0.601
8.021,2589,0.287,5.966,0.601
8.071,2589,0.287,5.848,0.601
8.121,2589,0.287,5.743,0.601
8.171,2589,0.287,5.638,0.6
8.221,2589,0.287,5.521,0.6
8.271,2589,0.287,5.41,0.6
8.321,2589,0.287,5.301,0.6
8.371,2589,0.287,5.19,0.6
8.421,2589,0.287,5.076,0.6
8.471,2589,0.287,4.958,0.6
8.521,2589,0.287,4.857,0.6
8.571,2589,0.287,4.765,0.6
8.621,2589,0.287,4.667,0.6
8.671,2589,0.287,4.579,0.6
8.721,2589,0.287,4.492,0.599
8.771,2589,0.287,4.399,0.599
8.821,2589,0.287,4.295,0.599
8.871,2589,0.287,4.185,0.599
8.921,2589,0.287,4.084,0.599
8.971,2589,0.287,3.995,0.599
9.021,2589,0.287,3.902,0.599
9.071,2589,0.287,3.819,0.599
9.121,2589,0.287,3.749,0.599
9.171,2589,0.287,3.679,0.599
9.221,2589,0.287,3.596,0.599
9.271,2589,0.287,3.525,0.599
9.321,2589,0.287,3.449,0.599
9.371,2589,0.287,3.365,0.598
9.421,2589,0.287,3.298,0.598
9.471,2589,0.287,3.237,0.598
9.521,2589,0.287,3.165,0.598
9.571,2589,0.287,3.08,0.598
9.621,2589,0.287,3.014,0.598
9.671,2589,0.287,2.959,0.598
9.721,2589,0.287,2.893,0.598
9.771,2589,0.287,2.831,0.598
9.821,2589,0.287,2.765,0.598
9.871,2589,0.287,2.697,0.598
9.921,2589,0.287,2.633,0.598
9.971,2589,0.287,2.569,0.598
10.021,2589,0.287,2.501,0.598
10.071,2589,0.287,2.424,0.598
10.121,2589,0.287,2.362,0.598
10.171,2589,0.287,2.297,0.598
10.221,2589,0.287,2.225,0.597
10.271,2589,0.287,2.152,0.597
10.321,2589,0.287,2.09,0.597
10.371,2589,0.287,2.052,0.597
10.421,2589,0.287,1.998,0.597
10.471,2589,0.287,1.932,0.597
10.521,2589,0.287,1.885,0.597
10.571,2589,0.287,1.837,0.597
10.621,2589,0.287,1.8,0.597
10.671,2589,0.287,1.79,0.597
10.721,2589,0.287,1.766,0.597
10.771,2589,0.287,1.741,0.597
10.821,2589,0.287,1.714,0.597
10.871,2589,0.287,1.66,0.597
10.921,2589,0.287,1.6,0.597
10.971,2589,0.287,1.54,0.597
11.021,2589,0.287,1.484,0.597
11.071,2589,0.287,1.435,0.597
11.121,2589,0.287,1.398,0.597
11.171,2589,0.287,1.369,0.597
11.221,2589,0.287,1.339,0.597
11.271,2589,0.287,1.303,0.597
11.321,2589,0.287,1.266,0.597
11.371,2589,0.287,1.224,0.597
11.421,2589,0.287,1.181,0.597
11.471,2589,0.287,1.132,0.596
11.521,2589,0.287,1.087,0.596
11.571,2589,0.287,1.039,0.596
11.621,2589,0.287,0.998,0.596
11.671,2589,0.287,0.975,0.596
11.721,2589,0.287,0.957,0.596
11.771,2589,0.287,0.945,0.596
11.821,2589,0.287,0.914,0.596
11.871,2589,0.287,0.868,0.596
11.921,2589,0.287,0.844,0.596
11.971,2589,0.287,0.815,0.596
12.021,2589,0.287,0.792,0.596
12.071,2589,0.287,0.769,0.596
12.121,2589,0.287,0.736,0.596
12.171,2589,0.287,0.707,0.596
12.221,2589,0.287,0.687,0.596
12.271,2589,0.287,0.677,0.596
12.321,2589,0.287,0.668,0.596
12.371,2589,0.287,0.644,0.596
12.421,2589,0.287,0.616,0.596
12.471,2589,0.287,0.595,0.596
12.521,2589,0.287,0.58,0.596
12.571,2589,0.287,0.546,0.596
12.621,2589,0.287,0.535,0.596
12.671,2589,0.287,0.539,0.596
12.721,2589,0.287,0.539,0.596
12.771,2589,0.287,0.525,0.596
12.821,2589,0.287,0.491,0.596
12.871,2589,0.287,0.482,0.596
12.921,2589,0.287,0.461,0.596
12.971,2589,0.287,0.434,0.596
13.021,2589,0.287,0.42,0.596
13.071,2589,0.287,0.413,0.596
13.121,2589,0.287,0.399,0.596
13.171,2589,0.287,0.392,0.596
13.221,2589,0.287,0.388,0.596
13.271,2589,0.287,0.372,0.596
13.321,2589,0.287,0.353,0.596
13.371,2589,0.287,0.341,0.596
13.421,2589,0.287,0.327,0.596
13.471,2589,0.287,0.327,0.596
13.521,2589,0.287,0.334,0.596
13.571,2589,0.287,0.349,0.596
13.621,2589,0.287,0.352,0.596
13.671,2589,0.287,0.356,0.596
13.675,2589,NaN,23.896,NaN
13.781,2589,NaN,23.824,NaN
13.879,2589,NaN,21.536,NaN
13.959,2589,NaN,18.755,NaN
14.125,2589,NaN,18.062,NaN
14.269,2589,NaN,16.053,NaN
14.446,2589,NaN,14.944,NaN
14.695,2589,NaN,14.945,NaN
14.955,2589,NaN,16.136,NaN
15.209,2589,NaN,16.477,NaN
15.475,2589,NaN,17.208,NaN
15.77,2589,NaN,18.987,NaN
16.113,2589,NaN,20.692,NaN
16.537,2589,NaN,22.361,NaN
16.913,2589,NaN,23.091,NaN
17.413,2589,NaN,24.045,NaN
17.913,2589,NaN,25.233,NaN
18.413,2589,NaN,25.047,NaN
18.913,2589,NaN,25.187,NaN
19.413,2589,NaN,25.297,NaN
19.913,2589,NaN,25.354,NaN
20.413,2589,NaN,25.383,NaN
20.913,2589,NaN,25.373,NaN
21.413,2589,NaN,25.383,NaN
21.913,2589,NaN,25.385,NaN
22.413,2589,NaN,25.407,NaN
22.913,2589,NaN,25.415,NaN
23.413,2589,NaN,25.448,NaN
23.913,2589,NaN,25.364,NaN
24.413,2589,NaN,25.482,NaN
24.913,2589,NaN,25.511,NaN
25.413,2589,NaN,25.329,NaN
25.913,2589,NaN,25.377,NaN
26.413,2589,NaN,25.386,NaN
26.913,2589,NaN,25.385,NaN
27.413,2589,NaN,25.38,NaN
27.913,2589,NaN,25.392,NaN
28.413,2589,NaN,25.393,NaN
28.913,2589,NaN,25.43,NaN
29.413,2589,NaN,25.39,NaN
29.913,2589,NaN,25.398,NaN
30.413,2589,NaN,25.392,NaN
30.913,2589,NaN,25.376,NaN
31.413,2589,NaN,25.468,NaN
31.913,2589,NaN,25.358,NaN
32.413,2589,NaN,25.376,NaN
32.913,2589,NaN,25.39,NaN
33.413,2589,NaN,25.393,NaN
33.913,2589,NaN,25.389,NaN
34.413,2589,NaN,25.387,NaN
34.913,2589,NaN,25.47,NaN
35.413,2589,NaN,25.41,NaN
35.913,2589,NaN,25.425,NaN
36.413,2589,NaN,25.591,NaN
36.852,2589,NaN,25.309,NaN
37.352,2589,NaN,25.38,NaN
37.852,2589,NaN,25.432,NaN
38.352,2589,NaN,25.422,NaN
38.852,2589,NaN,25.376,NaN
39.352,2589,NaN,25.377,NaN
39.852,2589,NaN,25.381,NaN
40.352,2589,NaN,25.39,NaN
40.852,2589,NaN,25.403,NaN
41.352,2589,NaN,25.381,NaN
41.852,2589,NaN,25.393,NaN
42.352,2589,NaN,25.39,NaN
42.852,2589,NaN,25.411,NaN
43.352,2589,NaN,25.393,NaN
43.852,2589,NaN,25.383,NaN
44.352,2589,NaN,25.414,NaN
44.852,2589,NaN,25.598,NaN
45.352,2589,NaN,25.316,NaN
45.852,2589,NaN,25.366,NaN
46.352,2589,NaN,25.377,NaN
46.852,2589,NaN,25.562,NaN
47.302,2589,NaN,25.351,NaN
47.802,2589,NaN,25.372,NaN
48.302,2589,NaN,25.373,NaN
48.802,2589,NaN,25.447,NaN
49.302,2589,NaN,25.41,NaN
49.31,2589,NaN,184.615,NaN
49.311,2589,NaN,172.62,NaN
49.313,2589,NaN,170.275,NaN
49.315,2589,NaN,167.746,NaN
49.317,2589,NaN,165.223,NaN
49.319,2589,NaN,162.7,NaN
49.322,2589,NaN,160.178,NaN
49.324,2589,NaN,157.658,NaN
49.326,2589,NaN,155.139,NaN
49.328,2589,NaN,152.621,NaN
49.331,2589,NaN,150.104,NaN
49.333,2589,NaN,147.589,NaN
49.336,2589,NaN,145.075,NaN
49.338,2589,NaN,142.562,NaN
49.341,2589,NaN,140.051,NaN
49.344,2589,NaN,137.542,NaN
49.347,2589,NaN,135.034,NaN
49.35,2589,NaN,132.527,NaN
49.353,2589,NaN,130.023,NaN
49.356,2589,NaN,127.529,NaN
49.359,2589,NaN,125.041,NaN
49.362,2589,NaN,122.556,NaN
49.366,2589,NaN,120.074,NaN
49.369,2589,NaN,117.595,NaN
49.373,2589,NaN,115.119,NaN
49.377,2589,NaN,112.646,NaN
49.381,2589,NaN,110.177,NaN
49.385,2589,NaN,107.711,NaN
49.39,2589,NaN,105.249,NaN
49.394,2589,NaN,102.791,NaN
49.399,2589,NaN,100.338,NaN
49.404,2589,NaN,97.889,NaN
49.409,2589,NaN,95.369,NaN
