# d22" m40" w11mph m_release=2205ft (Data loaded from a file)
# 712 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.266,0.266,26.564,26.564,0,0,0,0,0,0,0.65,-1.706,87.261,0,0,0,90.012,0,2943,615,0.326,0.004,9.798,NaN,67.5,NaN,106.997,1.536e-5,0.654,0.395,0.196,0.063,1.697e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.603,12.51,968.3,338.88,0.017,4.301e5,7.9,50,0.01,0.001,3.082e-5
0.02,0.009,1.197,1.197,93.135,93.135,0,0,0,0,0,0,0.65,-1.706,77.865,0,0,0,90.012,0,2941,613,0.326,0.004,9.798,NaN,67.5,NaN,302.736,0.001,0.652,0.393,0.196,0.063,0.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.577,12.51,968.3,338.88,0.017,4.373e5,7.9,50,0.01,0.002,1.389e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.026,2.22,2.22,102.354,102.354,0,0,0,0,0,0,0.65,-1.706,68.182,0,0,0,90.012,0,2939,611,0.326,0.004,9.798,NaN,67.5,NaN,329.629,0.007,0.648,0.39,0.196,0.063,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.551,12.51,968.3,338.88,0.018,4.583e5,7.9,50,0.01,0.002,2.576e-4
0.04,0.053,3.195,3.195,97.601,97.601,0,0,0,0,0,0,0.65,-1.706,59.931,0,0,0,90.012,0,2937,609,0.325,0.004,9.798,NaN,67.5,NaN,315.452,0.019,0.643,0.384,0.196,0.063,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.524,12.51,968.3,338.88,0.019,4.893e5,7.9,50,0.01,0.003,3.709e-4
0.05,0.089,4.125,4.125,92.956,92.956,0,0,0,0,0,0,0.65,-1.706,53.113,0,0,0,90.012,0,2935,607,0.325,0.004,9.798,NaN,67.5,NaN,301.619,0.036,0.637,0.378,0.196,0.063,0.265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.498,12.51,968.3,338.88,0.02,5.27e5,7.9,50,0.01,0.003,4.787e-4
0.06,0.135,5.046,5.046,92.174,92.174,0,0,0,0,0,0,0.65,-1.706,47.097,0,0,0,90.012,0,2933,605,0.325,0.004,9.798,NaN,67.4,NaN,299.148,0.059,0.631,0.372,0.196,0.063,0.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.43,12.51,968.3,338.88,0.022,5.683e5,7.9,50,0.01,0.004,5.857e-4
0.07,0.19,5.979,5.979,93.268,93.268,0,0,0,0,0,0,0.65,-1.706,41.883,0,0,0,90.012,0,2931,603,0.325,0.004,9.798,NaN,67.4,NaN,302.185,0.087,0.625,0.366,0.196,0.063,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.362,12.509,968.3,338.88,0.024,6.157e5,7.9,50,0.01,0.004,6.939e-4
0.08,0.255,6.922,6.922,94.363,94.363,0,0,0,0,0,0,0.65,-1.706,37.414,0,0,0,90.012,0,2929,601,0.325,0.004,9.798,NaN,67.4,NaN,305.223,0.121,0.619,0.36,0.196,0.063,0.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.294,12.509,968.3,338.879,0.026,6.681e5,7.9,50,0.01,0.005,8.034e-4
0.09,0.329,7.876,7.876,95.457,95.457,0,0,0,0,0,0,0.65,-1.706,33.575,0,0,0,90.012,0,2927,600,0.324,0.004,9.798,NaN,67.4,NaN,308.261,0.159,0.613,0.354,0.196,0.063,0.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.226,12.508,968.3,338.879,0.028,7.247e5,7.9,50,0.01,0.005,9.142e-4
