# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000050,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.000100,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
0.000902,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.001390,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000086,0.000984
0.001796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000279,0.003189
0.002201,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000593,0.006783
0.003011,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.001465,0.016749
0.003822,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002823,0.032270
0.004632,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.004667,0.053347
0.012737,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.049839,0.569667
0.014358,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.064706,0.739598
0.015979,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.081518,0.931750
0.017061,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.093364,1.067160
0.018143,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105163,1.202016
0.019224,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.116904,1.336215
0.021388,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.140213,1.602647
0.023551,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.163294,1.866455
0.025715,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.186144,2.127638
0.047348,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.402021,4.595125
0.050000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.427034,4.881020
0.052652,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.452086,5.167369
0.055304,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.477220,5.454655
