# Time (s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds,,,
# Event LAUNCH occurred at t=0 seconds,,,
0.01,2647.69,31.12,0.000000743
0.02,2647.304,93.359,0.000424
0.03,2646.572,146.968,0.002
0.04,2645.61,165.097,0.005
# Event LIFTOFF occurred at t=0.05 seconds,,,
0.05,2644.648,179.391,0.009
0.06,2643.686,193.685,0.016
0.07,2642.725,207.979,0.024
0.08,2641.668,220.488,0.036
0.09,2640.518,222.286,0.049
0.1,2639.367,222.298,0.064
0.11,2638.216,222.311,0.082
0.12,2637.066,222.324,0.101
0.13,2635.911,222.384,0.123
0.14,2634.745,223.201,0.146
0.15,2633.58,224.279,0.172
0.16,2632.415,225.356,0.2
0.17,2631.25,226.434,0.229
0.179,2630.15,227.483,0.259
0.188,2629.096,228.646,0.289
# Event LAUNCHROD occurred at t=0.197 seconds,,,
0.197,2628.101,229.842,0.321
0.209,2626.608,231.293,0.372
0.228,2624.369,233.47,0.457
0.256,2620.939,235.741,0.602
0.298,2615.767,237.828,0.86
0.348,2609.557,239.876,1.232
0.398,2603.3,242.298,1.676
0.448,2597.046,241.4,2.186
0.498,2590.828,240.635,2.763
0.548,2584.664,237.761,3.399
0.598,2578.544,236.606,4.098
0.648,2572.446,235.599,4.857
0.698,2566.4,233.63,5.673
0.748,2560.425,230.757,6.539
0.798,2554.497,228.992,7.457
0.848,2548.535,230.406,8.442
0.898,2542.611,228.967,9.48
0.948,2537.238,208.338,10.456
0.998,2533.006,164.803,11.215
1.048,2530.122,112.414,11.674
1.098,2528.492,62.689,11.832
1.148,2527.725,28.173,11.775
1.198,2527.373,12.984,11.626
1.248,2527.201,6.321,11.438
1.298,2527.131,2.727,11.232
# Event BURNOUT occurred at t=1.313 seconds,,,
1.313,2527.117,0.515,11.165
1.336,2527.117,0,11.065
1.37,2527.117,0,10.916
1.42,2527.117,0,10.702
1.47,2527.117,0,10.491
1.52,2527.117,0,10.284
1.57,2527.117,0,10.08
1.62,2527.117,0,9.88
1.67,2527.117,0,9.683
1.72,2527.117,0,9.489
1.77,2527.117,0,9.298
1.82,2527.117,0,9.111
1.87,2527.117,0,8.926
1.92,2527.117,0,8.745
1.97,2527.117,0,8.566
2.02,2527.117,0,8.39
2.07,2527.117,0,8.218
2.12,2527.117,0,8.048
2.17,2527.117,0,7.88
2.22,2527.117,0,7.716
2.27,2527.117,0,7.554
2.32,2527.117,0,7.395
2.37,2527.117,0,7.239
2.42,2527.117,0,7.084
2.47,2527.117,0,6.933
2.52,2527.117,0,6.784
2.57,2527.117,0,6.637
2.62,2527.117,0,6.493
2.67,2527.117,0,6.35
2.72,2527.117,0,6.211
2.77,2527.117,0,6.073
2.82,2527.117,0,5.938
2.87,2527.117,0,5.805
2.92,2527.117,0,5.674
2.97,2527.117,0,5.545
3.02,2527.117,0,5.418
3.07,2527.117,0,5.293
3.12,2527.117,0,5.171
3.17,2527.117,0,5.05
3.22,2527.117,0,4.931
3.27,2527.117,0,4.814
3.32,2527.117,0,4.7
3.37,2527.117,0,4.587
3.42,2527.117,0,4.475
3.47,2527.117,0,4.366
3.52,2527.117,0,4.259
3.57,2527.117,0,4.153
3.62,2527.117,0,4.049
3.67,2527.117,0,3.947
3.72,2527.117,0,3.846
3.77,2527.117,0,3.747
3.82,2527.117,0,3.65
3.87,2527.117,0,3.554
3.92,2527.117,0,3.46
3.97,2527.117,0,3.368
4.02,2527.117,0,3.277
4.07,2527.117,0,3.188
4.12,2527.117,0,3.101
4.17,2527.117,0,3.015
4.22,2527.117,0,2.93
4.27,2527.117,0,2.847
4.32,2527.117,0,2.765
4.37,2527.117,0,2.685
4.42,2527.117,0,2.606
4.47,2527.117,0,2.529
4.52,2527.117,0,2.453
4.57,2527.117,0,2.379
4.62,2527.117,0,2.305
4.67,2527.117,0,2.234
4.72,2527.117,0,2.163
4.77,2527.117,0,2.094
4.82,2527.117,0,2.026
4.87,2527.117,0,1.96
4.92,2527.117,0,1.895
4.97,2527.117,0,1.831
5.02,2527.117,0,1.768
5.07,2527.117,0,1.707
5.12,2527.117,0,1.646
5.17,2527.117,0,1.588
5.22,2527.117,0,1.53
5.27,2527.117,0,1.473
5.32,2527.117,0,1.418
5.37,2527.117,0,1.364
5.42,2527.117,0,1.311
5.47,2527.117,0,1.259
5.52,2527.117,0,1.209
5.57,2527.117,0,1.159
5.62,2527.117,0,1.111
5.67,2527.117,0,1.064
5.72,2527.117,0,1.017
5.77,2527.117,0,0.972
5.82,2527.117,0,0.929
5.87,2527.117,0,0.886
5.92,2527.117,0,0.844
5.97,2527.117,0,0.803
6.02,2527.117,0,0.764
6.07,2527.117,0,0.725
6.12,2527.117,0,0.688
6.17,2527.117,0,0.652
6.22,2527.117,0,0.616
6.27,2527.117,0,0.582
6.32,2527.117,0,0.549
6.37,2527.117,0,0.517
6.42,2527.117,0,0.485
6.47,2527.117,0,0.455
6.52,2527.117,0,0.426
6.57,2527.117,0,0.398
6.62,2527.117,0,0.371
6.67,2527.117,0,0.344
6.72,2527.117,0,0.319
6.77,2527.117,0,0.295
6.82,2527.117,0,0.273
6.87,2527.117,0,0.252
6.92,2527.117,0,0.232
6.97,2527.117,0,0.212
7.02,2527.117,0,0.194
7.07,2527.117,0,0.176
7.12,2527.117,0,0.159
7.17,2527.117,0,0.143
7.22,2527.117,0,0.128
7.27,2527.117,0,0.113
7.32,2527.117,0,0.1
7.37,2527.117,0,0.087
7.42,2527.117,0,0.075
7.47,2527.117,0,0.064
7.52,2527.117,0,0.054
7.57,2527.117,0,0.044
7.62,2527.117,0,0.036
7.67,2527.117,0,0.028
7.72,2527.117,0,0.021
7.77,2527.117,0,0.015
7.82,2527.117,0,0.011
7.87,2527.117,0,0.007
7.92,2527.117,0,0.004
7.97,2527.117,0,0.001
# Event APOGEE occurred at t=8.02 seconds,,,
8.02,2527.117,0,0.00000391
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=8.021 seconds,,,
8.07,2527.117,0,-0.000966
8.075,2527.117,0,0.094
8.575,2527.117,0,0.112
8.692,2527.117,0,10.927
8.799,2527.117,0,13.672
8.922,2527.117,0,15.894
9.064,2527.117,0,18.059
9.242,2527.117,0,20.083
9.484,2527.117,0,21.934
9.869,2527.117,0,23.523
10.369,2527.117,0,24.665
10.869,2527.117,0,24.788
11.369,2527.117,0,24.762
11.869,2527.117,0,24.768
12.369,2527.117,0,24.767
12.869,2527.117,0,24.767
13.369,2527.117,0,24.767
13.869,2527.117,0,24.767
14.369,2527.117,0,24.767
14.869,2527.117,0,24.767
# Event EJECTION_CHARGE occurred at t=15.313 seconds,,,
15.369,2527.117,0,24.767
15.869,2527.117,0,24.767
16.369,2527.117,0,24.767
16.869,2527.117,0,24.767
17.369,2527.117,0,24.767
17.869,2527.117,0,24.767
18.369,2527.117,0,24.767
18.869,2527.117,0,24.767
19.369,2527.117,0,24.767
19.869,2527.117,0,24.767
20.369,2527.117,0,24.767
20.869,2527.117,0,24.767
21.369,2527.117,0,24.767
21.869,2527.117,0,24.767
22.369,2527.117,0,24.767
22.869,2527.117,0,24.767
23.369,2527.117,0,24.767
23.869,2527.117,0,24.767
24.369,2527.117,0,24.767
24.869,2527.117,0,24.767
25.369,2527.117,0,24.767
25.869,2527.117,0,24.768
26.369,2527.117,0,24.767
26.869,2527.117,0,24.768
27.369,2527.117,0,24.768
27.869,2527.117,0,24.768
28.369,2527.117,0,24.768
28.869,2527.117,0,24.768
29.369,2527.117,0,24.768
29.869,2527.117,0,24.768
30.369,2527.117,0,24.768
30.869,2527.117,0,24.768
31.369,2527.117,0,24.768
31.869,2527.117,0,24.768
32.369,2527.117,0,24.768
32.869,2527.117,0,24.768
33.369,2527.117,0,24.768
33.869,2527.117,0,24.768
34.369,2527.117,0,24.768
34.869,2527.117,0,24.768
35.369,2527.117,0,24.768
35.869,2527.117,0,24.768
36.369,2527.117,0,24.768
36.869,2527.117,0,24.768
37.369,2527.117,0,24.768
37.869,2527.117,0,24.768
38.369,2527.117,0,24.769
38.869,2527.117,0,24.769
39.369,2527.117,0,24.769
39.869,2527.117,0,24.769
40.369,2527.117,0,24.769
40.869,2527.117,0,24.769
41.369,2527.117,0,24.769
41.869,2527.117,0,24.769
42.369,2527.117,0,24.769
42.869,2527.117,0,24.769
43.369,2527.117,0,24.769
43.869,2527.117,0,24.769
44.369,2527.117,0,24.769
44.869,2527.117,0,24.769
# Event GROUND_HIT occurred at t=45.218 seconds,,,
# Event SIMULATION_END occurred at t=45.218 seconds,,,
45.218,2527.117,0,24.769
